item_id,category,source_type,group,key,member_keys,english,length_bucket,changed_across_versions,change_score,style_variance_score,localization_risk_score,player_visibility,sampling_priority_score,scheme_c_score,V1_label,V1_zh,V2_label,V2_zh,V3_label,V3_zh,ellipsis_count,has_ellipsis,key_prefix
Titles_SILK_MAIN,achievement_map_title,Titles,Titles,SILK_MAIN,SILK_MAIN,Silk,micro,True,30.4,0.5,4.0,3.0,13.31,13.31,Initial official version,苍白之母,Public-beta official revision,丝影圣母,Patch 4 Team Cart Fix version,灵丝,0,False,SILK_MAIN
Titles_ARCHITECT_MAIN,achievement_map_title,Titles,Titles,ARCHITECT_MAIN,ARCHITECT_MAIN,Architect,micro,True,30.625,0.667,0.0,3.0,12.833,12.833,Initial official version,第十二席建筑师,Public-beta official revision,建筑师教堂,Patch 4 Team Cart Fix version,建筑师,0,False,ARCHITECT_MAIN
Titles_MASK_MAKER_MAIN,achievement_map_title,Titles,Titles,MASK_MAKER_MAIN,MASK_MAKER_MAIN,Mask Maker,micro,True,30.375,0.333,0.0,3.0,12.667,12.667,Initial official version,面甲匠,Public-beta official revision,面具匠,Patch 4 Team Cart Fix version,面具制作师,0,False,MASK_MAKER
Titles_SPLINTER_QUEEN_MAIN,achievement_map_title,Titles,Titles,SPLINTER_QUEEN_MAIN,SPLINTER_QUEEN_MAIN,Splinter,micro,True,30.325,0.333,0.0,3.0,12.647,12.647,Initial official version,碎裂者修女,Public-beta official revision,棘刺修女,Patch 4 Team Cart Fix version,碎裂者长姊,0,False,SPLINTER_QUEEN
Titles_FIRST_WEAVER_MAIN,achievement_map_title,Titles,Titles,FIRST_WEAVER_MAIN,FIRST_WEAVER_MAIN,Sinner,micro,True,30.275,0.333,0.0,3.0,12.627,12.627,Initial official version,原罪者,Public-beta official revision,初孽缚主,Patch 4 Team Cart Fix version,原初罪者,0,False,FIRST_WEAVER
Wanderers_GARMOND_MEET,dialogue,Wanderers,Wanderers,GARMOND_MEET,GARMOND_MEET,"Guurroooo! Scoundrel! Fiend! Who dares wake brave Garmond from his well needed kip?
I’ve no intent to disturb, sir bug. I am merely passing these towers and sought to better understand the lay of the place.
Hmmph! Knowing the battlefield? A warrior’s reason! Just look at you! Your stance and blade, almost alone they declare a fight.
As the bravest of knights, if direct challenge were offered, honour would see noble Garmond accept!
Fortunate that seems not your intent. In truth, I’m still sleeping off something of an altercation myself. Had our meeting called for a knightly duel, you’d not have had the luck to behold my finest form.",long,True,45.3,7.0,7.0,6.0,21.47,21.47,Initial official version,"嘎噜！歹徒！谁敢打扰勇者加蒙德的美梦？
无意冒犯，只是路过这座塔想探探路。
哼！勘察战场？战士的借口！看你这架势就是来找架打的！
作为最勇猛的骑士，要决斗我奉陪！
算你走运，我还没睡醒。真要决斗你可打不过全盛期的我！",Public-beta official revision,"嘎噜噜！恶棍！魔鬼！谁竟敢打扰勇者加蒙德的美梦？
无意冒犯，先生。我只是路过这些塔楼，想探探附近的情况。
哼！这不就是勘察战场？倒像是战士会找的借口！看看你的模样！你的姿态还有手上的武器，分明就是想来挑起争斗。
身为最勇猛的骑士，如果你想发起决斗，那高贵的加蒙德奉陪到底！
不过你似乎无意争斗，算你走运。说实话，我不久前才经历了一场争执，还没缓过来呢。要是真打起来，你连我认真出手的样子都见不着！",Patch 4 Team Cart Fix version,"嘎噜！歹徒！恶鬼！是谁这么大胆，竟敢将勇猛的加蒙德从他急需的小憩中惊醒？
我无意惊扰您，先生，我只是路过塔楼而已，以便更好地了解这里的布局。
哼！打探敌情是吗？这是战士才会有的理由！看看你！你这站姿和武器的架势，单凭这些就足够当作宣战了。
作为最勇猛的骑士，若有虫正面发起挑战，高尚的加蒙德将欣然接受！
不过还好，你好像并没这个打算。实际上，我刚战斗过一场，还想睡一会儿来恢复。如果我们真的像骑士一样决斗的话，你恐怕就没法见证我最好的状态了。",0,False,GARMOND_MEET
City_GOURMAND_SERVANT_MEET,dialogue,City,City,GOURMAND_SERVANT_MEET,GOURMAND_SERVANT_MEET,"What an awful clattering! Would you kindly conduct yourself a little more carefully?
And why are you adorned in such an awful, livid red? By my oath, those above must make a sport of sending me the most wretched servants they can find!
I am no servant, sir, rather a guest of sorts, invited by the Citadel. Tell me, is this vial of oil on display your own?
Nothing here is my own, you impertinent young mite! This sacred hall, and all the food contained within, belong to my most exalted master.
The Great Gourmand! The finest connoisseur who has ever lived, the one whose tastes transcend the ages!
None are left now who venerate them as they deserve, save for the loyal, lonely bug who stands before you.
That oil is merely a small savoury to whet their appetite for the grand meal to come. A spectacular, Pharloom spanning dish that I have been planning for an age.
But alas, those above seem to have forsaken my poor master! And I have grown so old. Now I can never hope to gather the necessary ingredients. Blast their indolence!",long,True,44.9,6.833,5.0,6.0,20.977,20.977,Initial official version,"叮叮咣咣吵死了！能安静点吗？
还有你为什么穿这身鲜红刺眼的装扮？上面那些混蛋专派些歪瓜裂枣来侍奉我！
我可不是仆从，算是圣堡的客人。这瓶油是你的藏品？
当然不是我的，你这没耐心的小虫！这里一切都属于我尊贵的主人——大胃王！
那是空前绝后的美食家！品味超越时代的存在！
如今只剩我忠心耿耿侍奉主人，其他虫早忘了本分。
那点油不过是开胃小菜，我筹备的可是横跨纺络的盛宴！
可恨上面那帮懒鬼断了供给，我这把老骨头哪凑得齐食材！",Public-beta official revision,"这叮叮当当的吵死了！能不能动作轻点儿？
还有你这身扎眼的猩红色，看着就难受！我发誓，上面那些家伙，是故意派最差劲的仆从来气我！
先生，我可不是什么仆从，算是圣堡邀请的客人。话说，这瓶展示用的油是你的吗？
这里的东西都不属于我，没规矩的小东西！这座神圣殿堂和里面所有食物，都属于我至高无上的主人。
伟大的美食家！有史以来最杰出的鉴赏家，品味超越时代！
如今只剩我忠心耿耿侍奉主人，其他虫早忘了本分。
那油不过是开胃小菜，为主人即将享用的盛宴做准备。我为法鲁姆筹划已久的令人惊叹的一场盛宴。
可上面那些人好像抛弃了我可怜的主人！而我也老了。现在根本凑不齐食材。该死的懒鬼！",Patch 4 Team Cart Fix version,"叮叮咣咣吵死了！请你稍微注意一点行吗？
还有你为什么穿着这红得扎眼的装扮？上面那些家伙肯定是把最不堪的仆从打发到这儿烦我来取乐了！
我不是仆从，先生，我倒算是圣堡请来的客人。展柜里这瓶油是你的吗？
当然不是我的，无礼的小东西！这宏伟的圣殿以及这里的一切美食都属于我至高无上的主人！
那是位伟大的大胃王！有史以来最顶尖的品鉴家！他的品味超越时代！
如今除了站在你面前这位忠诚而孤独的虫子，再无虫以应有的尊崇侍奉他。
在主人享用即将到来的盛宴之前，那点油只是他用来唤醒味蕾的开胃小菜罢了。这可是我毕生筹备、横跨纺络的盛宴！
可叹啊！上面那些虫似乎早已抛弃了我可怜的主人！而我又垂垂老矣，再也没指望能集齐必需的食材了。上面那些该死的懒虫！该死！",0,False,GOURMAND_SERVANT
Wanderers_GRINDLE_CITADEL_MEET,dialogue,Wanderers,Wanderers,GRINDLE_CITADEL_MEET,GRINDLE_CITADEL_MEET,"Well, well! See what happens to nasty bully-bugs when they come after poor old Grindle? That’s a well-deserved end, we reckon.
We heard this old Sitty-dell was nice and quiet and burstin’ with goodies. So what’s happened, eh? Why’s it crawlin’ with bullies and busybodies?
The creature that haunts this place is stirring, little thief. The Citadel’s caste now roam the halls. You would do well to leave soon, if you mean to survive.
What what? You bein’ mirthful? We’re stayin’ here ‘til we’re done pilfering! You should be the one leavin’ if you’re so afeared!",long,True,43.1,7.0,7.0,6.0,20.59,20.59,Initial official version,"啧啧！瞧瞧那些欺负格林德尔恶霸虫是什么下场？真是活该！
都说圣堡既清净，宝贝又多，怎么全是打手？
掌控此地的怪物正在苏醒，圣堡的守卫四处游荡，想活命就快逃吧，小毛贼。
怕什么！起码得等偷够本再说！你要是害怕了，那就自己逃吧！",Public-beta official revision,"哎呀，哎呀！那些讨人厌的恶霸虫子们盯上了可怜的格林德尔，看看它们的下场吧！要我说，这就是它们活该。
我明明听说这座“圣宝”很不错，既清静，又到处是宝贝。现在怎么回事？怎么遍地都是坏虫子和爱管闲事的家伙？
游荡于此地的怪物正不断增多，小偷。圣堡的回廊内全是它们的身影。如果你还想活命的话，我建议趁早离开这里。
这都什么跟什么？你是在大发慈悲吗？没偷完东西之前，我绝对不离开这里！你要是害怕的话，就自己跑路吧！",Patch 4 Team Cart Fix version,"啧啧！瞧瞧那些欺负格林德尔的恶霸虫是什么下场？真是活该！
都说这老“剩饱”清净，宝贝又多，可这是咋回事？为啥到处都是恶霸和爱管闲事的家伙？
掌控此地的怪物正在苏醒，圣堡的守卫四处游荡，想活命就快逃吧，小毛贼。
啥啥？你在逗我开心吗？东西没偷够，我们绝不走！你要是怕就自己走！",0,False,GRINDLE_CITADEL
Wanderers_MAPPER_GENERIC_SHELLWOOD_RAPTURED,dialogue,Wanderers,Wanderers,MAPPER_GENERIC_SHELLWOOD_RAPTURED,MAPPER_GENERIC_SHELLWOOD_RAPTURED,"Needle Child. Hakk! I encountered a settlement near here, at the core of a vein of old bells. The bugs there were snared silent on a web of Silk.
It seemed the pernicious trap of some unseen predator. I left quickly, making sure to avoid the glimmering threads.
I passed the town myself. The thread sickness, I’ve seen its like upon the roads, but there it does not discriminate.
The curse that strikes the town, it is driven, focused. A cold use of Silk at a concerning scale.
If the path permits, I will investigate its source.",long,True,42.8,6.667,7.0,6.0,20.403,20.403,Initial official version,"使针的小姑娘！哈克！附近钟心镇被邪丝罩着，居民全中招了。
像是某种没见过的掠食者设的陷阱，我躲着丝溜走了。
我也路过了那里。路上丝咒多是个例，但那镇子上的邪丝却不挑目标。
这等规模和冷血手段，显然受到操纵。
我会顺路追查其源头。",Public-beta official revision,"执针的小姑娘，哈克！我在附近见到一个定居地，它位于古老的钟脉中心。那里的虫子被灵丝织成的网困住，无法发声。
似乎是我从未见过的掠食者设下的致命陷阱。我很快就离开了，刻意避开那些闪闪发光的丝线。
我也经过了那座镇子。我在之前的道路上就见过这种丝线疫病，当时它还不分对象。
但这场袭击镇子的诅咒，却是被谁有意驱使、极具针对性。这种操纵灵丝的方式十分冷酷，而且规模庞大，令人不安。
如果顺路，我会调查它的来源。",Patch 4 Team Cart Fix version,"使针的小姑娘！哈克！我在这附近遇到了一处聚落，就在古老钟脉的中心。那里的居民全被灵丝织成的网困住，静默无声。
像是某种潜藏掠食者设下的致命陷阱。我没有久留，确保自己躲开了那些闪着微光的丝线。
我也经过了那里。一路上我也见过类似的情况，但镇子上的丝线病却是不分对象的。
袭击小镇的诅咒具有针对性，显然有东西在背后操控。这种使用灵丝的手段十分残忍，规模也相当可怕。
如果情况允许，我会追查其源头。",0,False,MAPPER_GENERIC
Peak_MASK_MAKER_UNMASK_TALK_04,dialogue,Peak,Peak,MASK_MAKER_UNMASK_TALK_04,MASK_MAKER_UNMASK_TALK_04,"The bugs of your land, I have watched them, climbing towards their absolution without the flicker of a thought to what it means.
Aye. But isn’t it always such for those snared to serve your higher caste?
Our mortal mob did once act some defiance, unawares maybe, but successful in part, goaded towards it by Weavers’ will’n all.
You speak of the Citadel? Its former function has failed, but I can still sense its purpose, some. It is church and cage both.
Aye. Devised by your ancestors that monstrosity, and their wicked, clever minds. A system, or a web they’d likely call it, a way to keep their mother sealed in slumber, and themselves free to lavish in their false rule.",long,True,42.9,7.167,5.0,6.0,20.243,20.243,Initial official version,"我观察了这片土地的虫。他们一心爬向救赎，却不懂这意味着什么。
是啊，但被你们高等族群使唤的不都这样。
我们凡虫不是没反抗过。当年被织者忽悠着，居然还真成了点事。
你说圣堡？虽然荒废了，还是能感觉到它的用途：既是教堂又是牢笼。
是啊。你祖辈造的这怪物，用狡猾心思织成网，让母亲陷入沉眠，自己却在外面称王。",Public-beta official revision,"你们这片土地的虫子啊，我观察很久了。他们拼命追求所谓的""救赎""，却连那意味着什么都没细想过。
没错。被你们高等存在控制的，不都这样吗？
我们这些凡虫也曾反抗过，可能自己都没意识到，但好歹算成了点事儿，说到底还是被编织者的意志给拱火的。
你说的是圣堡吗？它原本的功能已经失效，但我还能隐约感受到它的用途。既是教堂，也是牢笼。
没错。都是你们祖先搞出来的畸形产物，仗着他们那狡猾又聪明的头脑。
搞出这么个系统，或者按他们的说法叫""网""，用来让他们的母亲长眠不醒，自己好享受虚假的统治。",Patch 4 Team Cart Fix version,"我一直在观察这片土地上的虫子。他们一心爬向救赎，却从没想过这意味着什么。
是啊，但被你们高等族群诱骗来侍奉的不都是这样么？
我们凡虫倒也反抗过，虽然可能没注意到是编织者在有意地顺水推舟，但总归是成功了一部分。
你说圣堡？它曾经的功能虽已荒废，但我仍能隐约感觉到它的用途。既是教堂，也是牢笼。
是啊。你的祖先用诡诈的才智建造了这怪物。这套装置，或者她们愿意称之为蛛网，是为了把她们的母亲封印于沉眠之中，好让自己沉醉于虚假的统治里。",0,False,MASK_MAKER
